7;2
10;3
12;4
14;4
16;5
18;4
20;4
4;19
5;17
5;15
5;13
5;11
5;9
5;7
5;4
6;3
13;16
12;18
12;19
11;21
9;22
8;24
8;26
10;27
12;28
14;28
16;28
18;28
21;27
23;26
23;24
21;23
18;22
16;23
13;23
11;22
8;23
6;21
5;19
5;18
5;16
5;14
5;12
5;10
5;7
4;5
6;6
8;5
10;3
12;4
15;5
17;5
19;5
21;5
24;5
25;5
27;4
29;5
29;7
29;9
29;11
29;13
30;15
32;17
31;19
29;20
30;23
30;25
30;27
28;28
26;29
25;31
24;34
24;36
27;38
29;3
31;3
33;4
34;6
34;8
34;10
34;12
34;15
34;17
35;19
35;21
34;22
33;24
32;23
30;22
28;22
26;22
23;23
21;22
19;22
17;22
15;23
13;23
11;23
8;23
8;24
9;26
11;27
12;28
13;30
15;31
16;33
17;36
18;36
20;36
22;37
24;37
25;35
25;33
25;31
27;29
29;28
31;27
33;26
33;24
34;22
33;20
32;19
30;18
28;17
25;16
23;14
23;12
24;10
24;8
23;5
21;3
19;4
18;5
17;7
17;9
16;11
14;12
13;14
5;17
5;15
5;12
4;10
4;8
5;6
6;4
8;3
10;4
12;3
15;3
17;4
19;3
21;3
23;3
25;3
28;4
30;3
32;3
34;5
34;7
34;8
34;10
34;12
34;14
33;16
33;19
34;21
34;24
33;26
32;27
30;27
28;28
26;28
24;31
23;33
23;35
23;37
21;37
19;37
16;35
15;34
14;32
13;30
12;29
10;27
8;27
6;27
5;25
5;23
4;20
4;18
4;15
4;12
4;10
4;8
5;6
6;4
9;3
10;3
12;4
14;4
16;3
19;3
21;3
23;3
25;2
28;3
34;23
35;26
35;27
34;30
35;32
35;35
34;37
32;37
30;37
28;37
26;37
24;38
23;38
21;38
18;37
16;35
15;33
15;31
14;30
13;28
12;26
11;25
10;23
8;21
6;20
9;37
10;37
12;38
15;37
17;37
19;38
21;38
24;37
25;35
25;33
25;31
26;30
26;28
26;26
25;24
24;23
25;24
24;26
22;28
20;29
17;27
8;20
7;20
7;22
9;22
11;21
12;19
12;17
12;16
13;14
15;13
17;11
18;8
17;6
15;4
13;3
11;3
11;3
10;3
7;3
5;4
5;6
5;8
5;10
5;12
5;14
5;17
5;19
5;22
4;24
4;26
4;28
5;30
5;32
5;34
5;36
7;37
9;37
7;13
8;12
9;10
11;10
13;10
16;11
18;12
18;14
18;17
18;17
19;16
21;16
20;16
19;16
17;17
15;19
13;20
11;20
8;21
7;22
6;23
6;25
6;28
6;30
42;32
42;33
41;34
41;35
42;37
41;39
39;40
37;41
34;41
33;40
30;40
28;39
26;38
24;38
22;36
22;34
20;32
20;30
21;27
22;25
22;22
22;20
23;18
23;16
22;15
22;13
22;11
20;11
18;10
16;9
14;8
14;10
12;10
9;10
7;11
7;13
7;14
21;28
21;26
21;23
22;21
23;18
24;16
26;15
26;13
27;11
25;12
23;11
21;11
18;11
16;11
14;11
11;10
9;11
7;13
7;15
6;18
6;21
7;23
7;26
7;28
8;30
7;32
7;35
7;38
9;40
11;40
12;40
14;39
17;39
18;38
19;36
20;33
21;32
23;30
25;29
27;29
29;28
32;28
34;28
36;28
38;27
41;28
41;30
28;17
29;17
27;19
26;20
24;21
22;22
22;25
22;27
20;29
21;32
21;35
23;36
22;36
21;36
21;35
21;33
21;31
7;12
7;12
7;12
7;12
9;11
11;11
13;12
16;12
18;13
20;14
22;16
24;17
26;17
10;30
13;28
14;30
15;31
16;31
15;31
15;29
15;27
16;25
17;22
16;20
18;19
19;16
18;14
19;12
20;9
20;7
18;8
16;10
14;10
12;9
9;10
7;11
7;11
25;9
24;8
25;10
23;10
22;10
